cuenta|descri|cta_raiz|cta_niv3|cn_nivel|||
1210100000|MUEBLES Y ENSERES|1200000000|1210000000|4|||
1210100100|MUEBLES Y ENSERES|1200000000|1210000000|5|||
1210110000|DEPRECIACION ACUMULADA MUEBLES Y ENSERES|1200000000|1210000000|4|||
1210110100|DEPRECIACION ACUMULADA MUEBLES Y ENSERES|1200000000|1210000000|5|||
1210120000|EQUIPOS DE COMPUTACION|1200000000|1210000000|4|||
1210120100|EQUIPOS DE COMPUTACION|1200000000|1210000000|5|||
1210130000|DEPRECIACION ACUMULADA EQUIPOS DE COMPUTACION|1200000000|1210000000|4|||
1210130100|DEPRECIACION ACUMULADA EQUIPOS DE COMPUTACION|1200000000|1210000000|5|||
1210140000|HERRAMIENTAS EN GENERAL|1200000000|1210000000|4|||
1210140100|HERRAMIENTAS EN GENERAL|1200000000|1210000000|5|||
1210150000|DEPRECIACION ACUMULADA  DE HERRAMIENTA EN GENERAL|1200000000|1210000000|4|||
1210150100|DEPRECIACION ACUMULADA  DE HERRAMIENTA EN GENERAL|1200000000|1210000000|5|||
1210160000|EQUIPOS E INSTALACION DE LABORATORIO|1200000000|1210000000|4|||
1210160100|EQUIPOS E INSTALACION DE LABORATORIO|1200000000|1210000000|5|||
1210170000|DEPRECIACION ACUMULADA DE EQUIPOS E INSTALACION DE|1200000000|1210000000|4|||
1210180100|DEPRECIACION ACUMULADA DE EQUIPOS E INSTALACION DE|1200000000|1210000000|5|||
1210190000|EQUIPO TELEFONICO|1200000000|1210000000|4|||
1210190100|EQUIPO TELEFONICO|1200000000|1210000000|5|||
1210200000|DEPRECIACION ACUMULADA DE EQUIPO TELEFONICO|1200000000|1210000000|4|||
1210210100|DEPRECIACION ACUMULADA DE EQUIPO TELEFONICO|1200000000|1210000000|5|||
1210220000|EQUIPO DE IMPRESION|1200000000|1210000000|4|||
1210220100|EQUIPO DE IMPRESION|1200000000|1210000000|5|||
1210230000|DEPRECIACION ACUMULADA DE IMPRESIÓN|1200000000|1210000000|4|||
1210230100|DEPRECIACION ACUMULADA DE IMPRESIÓN|1200000000|1210000000|5|||
1210240000|MENAJE DE COCINA|1200000000|1210000000|4|||
1210240100|MENAJE DE COCINA|1200000000|1210000000|5|||
1210250000|DEPRECIACION ACUMULADA MENAJE DE COCINA|1200000000|1210000000|4|||
1210250100|DEPRECIACION ACUMULADA MENAJE DE COCINA|1200000000|1210000000|5|||
1210260000|EQUIPOS ELECTRICOS|1200000000|1210000000|4|||
